airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-05-01,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Multiple Carriers,2019-05-18,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,8283
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Goair,2019-04-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,6722
Indigo,2019-06-12,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8610
Spicejet,2019-06-24,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Goair,2019-03-06,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No Info,8213
Spicejet,2019-03-06,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No Info,9748
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8834
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,15078
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Indigo,2019-03-27,Delhi,Cochin,04:55:00,16:10:00,675,1.0,No Info,6171
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,16079
Jet Airways,2019-04-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8371
Jet Airways,2019-05-24,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Spicejet,2019-05-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,14151
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,12898
Air India,2019-03-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,6902
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,18:45:00,1345,1.0,No Info,12102
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,18:25:00,685,1.0,No Info,26890
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,1840
Goair,2019-05-15,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,7831
Spicejet,2019-03-27,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,5351
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13727
Jet Airways,2019-05-21,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Air India,2019-05-24,Kolkata,Banglore,10:00:00,10:30:00,1470,3.0,No Info,13007
Air India,2019-05-18,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,14571
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Air Asia,2019-06-09,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,No Info,12681
Air Asia,2019-03-15,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3782
Spicejet,2019-03-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332
Multiple Carriers,2019-04-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Indigo,2019-05-24,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,5192
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,7757
Vistara,2019-03-15,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6111
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,No Info,16736
Air India,2019-05-12,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,12140
Indigo,2019-03-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,12351
Air India,2019-06-15,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,11753
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,14388
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Indigo,2019-06-01,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,880,1.0,No Info,6901
Indigo,2019-04-03,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14323
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,6287
Multiple Carriers,2019-06-24,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6723
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,18:50:00,510,1.0,No Info,15411
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-03-27,Delhi,Cochin,10:45:00,21:00:00,615,1.0,No Info,6838
Goair,2019-04-03,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,4725
Indigo,2019-03-03,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,14871
Multiple Carriers,2019-03-03,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,17057
Indigo,2019-06-01,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Multiple Carriers,2019-03-09,Delhi,Cochin,17:25:00,01:35:00,490,1.0,In-flight meal not included,12616
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No Info,6145
Indigo,2019-04-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5073
Air India,2019-03-24,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,8635
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12898
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2227
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,12692
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Air Asia,2019-05-15,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6752
Goair,2019-06-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Vistara,2019-04-15,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Indigo,2019-05-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6979
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,09:30:00,725,1.0,No Info,13817
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,17057
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,12609
Jet Airways,2019-06-12,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Air Asia,2019-06-09,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,11323
Vistara,2019-04-06,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5969
Air India,2019-06-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-06-15,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,In-flight meal not included,9134
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,In-flight meal not included,15136
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No Info,13067
Air India,2019-03-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,14851
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,14848
Indigo,2019-03-18,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,4332
Air India,2019-05-18,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,13222
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14781
Air India,2019-05-24,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No Info,10413
Spicejet,2019-05-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Multiple Carriers,2019-03-27,Delhi,Cochin,02:15:00,15:30:00,795,1.0,No Info,12327
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,26890
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,12284
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No Info,14300
Air India,2019-06-06,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,10991
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Jet Airways,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,10262
Indigo,2019-05-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-05-06,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-06-12,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,18:25:00,685,1.0,No Info,16736
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Indigo,2019-03-18,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Air India,2019-03-03,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,13442
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Jet Airways,2019-04-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,9663
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,10:25:00,780,1.0,No Info,17261
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13941
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Goair,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5052
Jet Airways,2019-03-27,Delhi,Cochin,05:25:00,19:45:00,2300,2.0,In-flight meal not included,9254
Indigo,2019-06-24,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6147
Indigo,2019-03-03,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,14871
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13727
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Air India,2019-05-21,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10697
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14848
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,13067
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14323
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Indigo,2019-03-09,Banglore,New Delhi,17:55:00,22:55:00,300,1.0,No Info,6351
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,3145
Multiple Carriers,2019-06-27,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,13377
Indigo,2019-05-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6600
Indigo,2019-06-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Indigo,2019-05-09,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,7605
Spicejet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Multiple Carriers,2019-06-15,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7005
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,13067
Indigo,2019-03-27,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,7048
Indigo,2019-05-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Air India,2019-03-12,Banglore,New Delhi,06:45:00,20:35:00,830,1.0,No Info,12127
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,6795
Air Asia,2019-03-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4082
Air Asia,2019-04-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4107
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Multiple Carriers,2019-03-21,Delhi,Cochin,09:45:00,21:20:00,695,2.0,No Info,7178
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,6224
Indigo,2019-03-06,Delhi,Cochin,04:55:00,16:10:00,675,1.0,No Info,6171
Air India,2019-03-15,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5170
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,No Info,12347
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Air India,2019-06-15,Delhi,Cochin,13:15:00,19:15:00,1800,2.0,No Info,12182
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,9663
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,13401
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13784
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,6151
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,11:25:00,1110,1.0,No Info,17261
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14571
Vistara,2019-03-24,Kolkata,Banglore,09:55:00,20:25:00,630,1.0,No Info,12312
Vistara,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-06-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-05-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,15342
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,10539
Air India,2019-05-06,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10151
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,11789
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,14388
Air India,2019-03-27,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2575
Jet Airways,2019-06-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-05-18,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12373
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Air India,2019-03-12,Banglore,New Delhi,06:45:00,23:15:00,990,1.0,No Info,11602
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Air India,2019-06-06,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8366
Air Asia,2019-04-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,13067
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9526
Air India,2019-05-12,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12373
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,810,1.0,No Info,8907
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,6883
Air Asia,2019-06-09,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,8759
Air India,2019-06-27,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Jet Airways,2019-05-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Indigo,2019-05-12,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,7240
Jet Airways,2019-05-06,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,21219
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Air India,2019-03-24,Kolkata,Banglore,07:00:00,10:00:00,1620,2.0,No Info,11491
Air India,2019-06-03,Delhi,Cochin,17:40:00,09:35:00,955,1.0,No Info,7258
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Indigo,2019-06-15,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No Info,14571
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,No Info,26890
Indigo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7575
Air India,2019-03-06,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,11563
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,14388
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No Info,12537
Spicejet,2019-06-27,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
